"ob_number","station_code","ob_date","snow_fall","snow_depth","temp_max","temp_min"
1,"USW00014860",1970-01-01,0,6,25,17
2,"USW00014860",1970-01-02,2.2,7,27,18
3,"USW00014860",1970-01-03,4.1,9,25,15
4,"USW00014860",1970-01-04,0.4,11,19,11
5,"USW00014860",1970-01-05,0,11,26,19
6,"USW00014860",1970-01-06,0,10,23,15
7,"USW00014860",1970-01-07,2.3,10,16,-3
8,"USW00014860",1970-01-08,0.1,11,-2,-6
9,"USW00014860",1970-01-09,0.5,10,8,-7
10,"USW00014860",1970-01-10,0.4,10,20,8
11,"USW00014860",1970-01-11,0.3,10,20,7
12,"USW00014860",1970-01-12,1.8,11,24,19
13,"USW00014860",1970-01-13,0,12,23,12
14,"USW00014860",1970-01-14,0,11,15,1
15,"USW00014860",1970-01-15,0,11,24,-6
16,"USW00014860",1970-01-16,0,11,41,23
17,"USW00014860",1970-01-17,1.9,6,36,26
18,"USW00014860",1970-01-18,0.9,8,26,-1
19,"USW00014860",1970-01-19,0.2,8,13,3
20,"USW00014860",1970-01-20,1.6,8,10,0
21,"USW00014860",1970-01-21,0,9,5,-7
22,"USW00014860",1970-01-22,0,9,11,-7
23,"USW00014860",1970-01-23,1.6,9,17,-9
24,"USW00014860",1970-01-24,0.1,10,25,-13
25,"USW00014860",1970-01-25,0,10,41,25
26,"USW00014860",1970-01-26,0.1,4,37,26
27,"USW00014860",1970-01-27,0.8,4,32,26
28,"USW00014860",1970-01-28,0,4,49,28
29,"USW00014860",1970-01-29,0.2,1,47,23
30,"USW00014860",1970-01-30,0.2,0,23,15
31,"USW00014860",1970-01-31,0,0,38,21
32,"USW00014860",1970-02-01,0,0,47,34
33,"USW00014860",1970-02-02,2,0,44,20
34,"USW00014860",1970-02-03,2,2,20,2
35,"USW00014860",1970-02-04,0.9,4,15,-5
36,"USW00014860",1970-02-05,0,5,33,15
37,"USW00014860",1970-02-06,0,2,36,24
38,"USW00014860",1970-02-07,0,0,38,19
39,"USW00014860",1970-02-08,0,0,40,26
40,"USW00014860",1970-02-09,0,0,38,30
41,"USW00014860",1970-02-10,4.8,0,35,28
42,"USW00014860",1970-02-11,1.5,6,29,19
43,"USW00014860",1970-02-12,1.8,6,20,14
44,"USW00014860",1970-02-13,0.9,8,18,2
45,"USW00014860",1970-02-14,0,7,17,-3
46,"USW00014860",1970-02-15,2,7,23,13
47,"USW00014860",1970-02-16,0,9,21,3
48,"USW00014860",1970-02-17,0,8,33,2
49,"USW00014860",1970-02-18,0,6,47,30
50,"USW00014860",1970-02-19,3.2,3,32,13
51,"USW00014860",1970-02-20,0.4,3,21,11
52,"USW00014860",1970-02-21,0.1,3,29,10
53,"USW00014860",1970-02-22,0,2,44,29
54,"USW00014860",1970-02-23,0,0,29,20
55,"USW00014860",1970-02-24,0,0,47,27
56,"USW00014860",1970-02-25,0.6,0,41,2
57,"USW00014860",1970-02-26,0,0,26,-1
58,"USW00014860",1970-02-27,1.7,1,29,17
59,"USW00014860",1970-02-28,0,1,25,12
60,"USW00014860",1970-03-01,0,0,34,12
61,"USW00014860",1970-03-02,0,0,34,27
62,"USW00014860",1970-03-03,0,0,45,27
63,"USW00014860",1970-03-04,0,0,46,34
64,"USW00014860",1970-03-05,0,0,34,28
65,"USW00014860",1970-03-06,0,0,36,22
66,"USW00014860",1970-03-07,0,0,44,25
67,"USW00014860",1970-03-08,0,0,25,11
68,"USW00014860",1970-03-09,0,0,25,12
69,"USW00014860",1970-03-10,0,0,25,11
70,"USW00014860",1970-03-11,0,0,27,15
71,"USW00014860",1970-03-12,0,0,30,16
72,"USW00014860",1970-03-13,0,0,31,21
73,"USW00014860",1970-03-14,3.1,1,25,16
74,"USW00014860",1970-03-15,1,3,25,13
75,"USW00014860",1970-03-16,0,1,24,12
76,"USW00014860",1970-03-17,0,0,34,17
77,"USW00014860",1970-03-18,0.5,0,38,28
78,"USW00014860",1970-03-19,0,0,42,29
79,"USW00014860",1970-03-20,0,0,41,32
80,"USW00014860",1970-03-21,0,0,38,31
81,"USW00014860",1970-03-22,1.9,0,34,30
82,"USW00014860",1970-03-23,1.7,1,32,29
83,"USW00014860",1970-03-24,0,0,34,31
84,"USW00014860",1970-03-25,0,0,39,27
85,"USW00014860",1970-03-26,0,0,51,30
86,"USW00014860",1970-03-27,0,0,38,26
87,"USW00014860",1970-03-28,0.4,0,42,21
88,"USW00014860",1970-03-29,0,0,27,18
89,"USW00014860",1970-03-30,0,0,34,16
90,"USW00014860",1970-03-31,0,0,35,22
91,"USW00014860",1970-04-01,0,0,45,24
92,"USW00014860",1970-04-02,0.9,0,57,30
93,"USW00014860",1970-04-03,0,0,38,28
94,"USW00014860",1970-04-04,0,0,38,26
95,"USW00014860",1970-04-05,0,0,37,24
96,"USW00014860",1970-04-06,0,0,51,31
97,"USW00014860",1970-04-07,0,0,38,29
98,"USW00014860",1970-04-08,0,0,66,32
99,"USW00014860",1970-04-09,0,0,58,31
100,"USW00014860",1970-04-10,0,0,33,27
101,"USW00014860",1970-04-11,0,0,37,25
102,"USW00014860",1970-04-12,0,0,44,22
103,"USW00014860",1970-04-13,0,0,54,30
104,"USW00014860",1970-04-14,0,0,49,36
105,"USW00014860",1970-04-15,0,0,54,28
106,"USW00014860",1970-04-16,0,0,54,28
107,"USW00014860",1970-04-17,0,0,65,38
108,"USW00014860",1970-04-18,0,0,45,29
109,"USW00014860",1970-04-19,0,0,44,32
110,"USW00014860",1970-04-20,0,0,58,42
111,"USW00014860",1970-04-21,0,0,55,41
112,"USW00014860",1970-04-22,0,0,55,41
113,"USW00014860",1970-04-23,0,0,70,49
114,"USW00014860",1970-04-24,0,0,50,39
115,"USW00014860",1970-04-25,0,0,66,38
116,"USW00014860",1970-04-26,0,0,63,45
117,"USW00014860",1970-04-27,0,0,70,51
118,"USW00014860",1970-04-28,0,0,77,58
119,"USW00014860",1970-04-29,0,0,76,58
120,"USW00014860",1970-04-30,0,0,78,68
121,"USW00014860",1970-05-01,0,0,85,58
122,"USW00014860",1970-05-02,0,0,58,42
123,"USW00014860",1970-05-03,0,0,50,40
124,"USW00014860",1970-05-04,0,0,65,41
125,"USW00014860",1970-05-05,0,0,63,38
126,"USW00014860",1970-05-06,0,0,44,36
127,"USW00014860",1970-05-07,0,0,54,26
128,"USW00014860",1970-05-08,0,0,69,52
129,"USW00014860",1970-05-09,0,0,72,63
130,"USW00014860",1970-05-10,0,0,70,61
131,"USW00014860",1970-05-11,0,0,70,55
132,"USW00014860",1970-05-12,0,0,70,50
133,"USW00014860",1970-05-13,0,0,70,50
134,"USW00014860",1970-05-14,0,0,62,48
135,"USW00014860",1970-05-15,0,0,74,59
136,"USW00014860",1970-05-16,0,0,73,50
137,"USW00014860",1970-05-17,0,0,55,47
138,"USW00014860",1970-05-18,0,0,61,40
139,"USW00014860",1970-05-19,0,0,76,48
140,"USW00014860",1970-05-20,0,0,66,52
141,"USW00014860",1970-05-21,0,0,82,52
142,"USW00014860",1970-05-22,0,0,77,60
143,"USW00014860",1970-05-23,0,0,61,51
144,"USW00014860",1970-05-24,0,0,64,50
145,"USW00014860",1970-05-25,0,0,79,53
146,"USW00014860",1970-05-26,0,0,67,49
147,"USW00014860",1970-05-27,0,0,56,41
148,"USW00014860",1970-05-28,0,0,63,39
149,"USW00014860",1970-05-29,0,0,74,48
150,"USW00014860",1970-05-30,0,0,79,57
151,"USW00014860",1970-05-31,0,0,80,60
152,"USW00014860",1970-06-01,0,0,83,67
153,"USW00014860",1970-06-02,0,0,82,63
154,"USW00014860",1970-06-03,0,0,63,48
155,"USW00014860",1970-06-04,0,0,64,44
156,"USW00014860",1970-06-05,0,0,72,57
157,"USW00014860",1970-06-06,0,0,63,48
158,"USW00014860",1970-06-07,0,0,72,45
159,"USW00014860",1970-06-08,0,0,78,59
160,"USW00014860",1970-06-09,0,0,80,58
161,"USW00014860",1970-06-10,0,0,83,59
162,"USW00014860",1970-06-11,0,0,80,65
163,"USW00014860",1970-06-12,0,0,72,56
164,"USW00014860",1970-06-13,0,0,70,51
165,"USW00014860",1970-06-14,0,0,77,51
166,"USW00014860",1970-06-15,0,0,72,59
167,"USW00014860",1970-06-16,0,0,79,62
168,"USW00014860",1970-06-17,0,0,84,64
169,"USW00014860",1970-06-18,0,0,80,64
170,"USW00014860",1970-06-19,0,0,65,49
171,"USW00014860",1970-06-20,0,0,61,42
172,"USW00014860",1970-06-21,0,0,63,46
173,"USW00014860",1970-06-22,0,0,69,47
174,"USW00014860",1970-06-23,0,0,74,53
175,"USW00014860",1970-06-24,0,0,79,58
176,"USW00014860",1970-06-25,0,0,64,52
177,"USW00014860",1970-06-26,0,0,71,49
178,"USW00014860",1970-06-27,0,0,66,54
179,"USW00014860",1970-06-28,0,0,72,46
180,"USW00014860",1970-06-29,0,0,79,59
181,"USW00014860",1970-06-30,0,0,79,61
182,"USW00014860",1970-07-01,0,0,84,60
183,"USW00014860",1970-07-02,0,0,75,63
184,"USW00014860",1970-07-03,0,0,82,68
185,"USW00014860",1970-07-04,0,0,74,61
186,"USW00014860",1970-07-05,0,0,69,54
187,"USW00014860",1970-07-06,0,0,74,47
188,"USW00014860",1970-07-07,0,0,78,58
189,"USW00014860",1970-07-08,0,0,80,61
190,"USW00014860",1970-07-09,0,0,75,61
191,"USW00014860",1970-07-10,0,0,74,60
192,"USW00014860",1970-07-11,0,0,71,58
193,"USW00014860",1970-07-12,0,0,78,55
194,"USW00014860",1970-07-13,0,0,80,52
195,"USW00014860",1970-07-14,0,0,81,67
196,"USW00014860",1970-07-15,0,0,83,68
197,"USW00014860",1970-07-16,0,0,72,56
198,"USW00014860",1970-07-17,0,0,78,56
199,"USW00014860",1970-07-18,0,0,74,62
200,"USW00014860",1970-07-19,0,0,80,62
201,"USW00014860",1970-07-20,0,0,68,56
202,"USW00014860",1970-07-21,0,0,69,52
203,"USW00014860",1970-07-22,0,0,74,49
204,"USW00014860",1970-07-23,0,0,76,57
205,"USW00014860",1970-07-24,0,0,79,64
206,"USW00014860",1970-07-25,0,0,78,63
207,"USW00014860",1970-07-26,0,0,83,65
208,"USW00014860",1970-07-27,0,0,80,65
209,"USW00014860",1970-07-28,0,0,81,69
210,"USW00014860",1970-07-29,0,0,83,68
211,"USW00014860",1970-07-30,0,0,81,67
212,"USW00014860",1970-07-31,0,0,81,70
213,"USW00014860",1970-08-01,0,0,80,67
214,"USW00014860",1970-08-02,0,0,75,62
215,"USW00014860",1970-08-03,0,0,75,58
216,"USW00014860",1970-08-04,0,0,70,53
217,"USW00014860",1970-08-05,0,0,71,52
218,"USW00014860",1970-08-06,0,0,73,50
219,"USW00014860",1970-08-07,0,0,77,54
220,"USW00014860",1970-08-08,0,0,80,54
221,"USW00014860",1970-08-09,0,0,82,65
222,"USW00014860",1970-08-10,0,0,79,62
223,"USW00014860",1970-08-11,0,0,82,59
224,"USW00014860",1970-08-12,0,0,79,61
225,"USW00014860",1970-08-13,0,0,80,62
226,"USW00014860",1970-08-14,0,0,81,61
227,"USW00014860",1970-08-15,0,0,83,64
228,"USW00014860",1970-08-16,0,0,83,69
229,"USW00014860",1970-08-17,0,0,76,58
230,"USW00014860",1970-08-18,0,0,77,54
231,"USW00014860",1970-08-19,0,0,84,65
232,"USW00014860",1970-08-20,0,0,79,64
233,"USW00014860",1970-08-21,0,0,71,54
234,"USW00014860",1970-08-22,0,0,72,51
235,"USW00014860",1970-08-23,0,0,71,58
236,"USW00014860",1970-08-24,0,0,71,57
237,"USW00014860",1970-08-25,0,0,76,54
238,"USW00014860",1970-08-26,0,0,79,61
239,"USW00014860",1970-08-27,0,0,77,63
240,"USW00014860",1970-08-28,0,0,80,64
241,"USW00014860",1970-08-29,0,0,70,58
242,"USW00014860",1970-08-30,0,0,84,58
243,"USW00014860",1970-08-31,0,0,68,58
244,"USW00014860",1970-09-01,0,0,66,44
245,"USW00014860",1970-09-02,0,0,70,46
246,"USW00014860",1970-09-03,0,0,80,56
247,"USW00014860",1970-09-04,0,0,76,64
248,"USW00014860",1970-09-05,0,0,70,58
249,"USW00014860",1970-09-06,0,0,68,48
250,"USW00014860",1970-09-07,0,0,77,56
251,"USW00014860",1970-09-08,0,0,82,62
252,"USW00014860",1970-09-09,0,0,73,65
253,"USW00014860",1970-09-10,0,0,78,62
254,"USW00014860",1970-09-11,0,0,65,48
